callsign,frequency,band,names,nlu_names,location.city,location.country,location.full_state_name,location.state,free_search,geolocation.coordinates,geolocation.type,popularity
KBMW,92.7,FM,B92.7,"[""B92.7""]",Breckenridge,US,Minnesota,MN,"[""B92.7"",""92.7"",""KBMW"",""Breckenridge"",""FM""]","[-96.58809661865234,46.280601501464844]",Point,1
KAYD,101.7,FM,KD 101.7,"[""KD""]",Beaumont,US,Texas,TX,"[""KD 101.7"",""101.7"",""KAYD"",""Beaumont"",""FM""]","[-94.10179901123047,30.086000442504883]",Point,2
KSZR,97.5,FM,97.5 The Vibe,"[""The Vibe""]",Oro Valley,US,Arizona,AZ,"[""97.5 The Vibe"",""97.5"",""KSZR"",""Oro Valley"",""FM""]","[-110.96600341796875,32.390899658203125]",Point,2.1
KYLR,92.1,FM,Air1 Radio,"[""Air1 Radio""]",Hutto,US,Texas,TX,"[""Air1 Radio"",""92.1"",""KYLR"",""Hutto"",""FM""]","[-97.54669952392578,30.542699813842773]",Point,1.7
,,,Lam Rim Radio,"[""Lam Rim Radio""]",Orlando,US,Florida,FL,"[""Lam Rim Radio"",""Orlando""]","[-81.37920379638672,28.538299560546875]",Point,0.5
,,,Sleepbot Environmental Broadcast,"[""Sleepbot Environmental Broadcast""]",Seattle,US,Washington,WA,"[""Sleepbot Environmental Broadcast"",""Seattle""]","[-122.33200073242188,47.606201171875]",Point,1.2
WXJZ,100.9,FM,Classic Hits 100.9,"[""Classic Hits""]",Gainesville,US,Florida,FL,"[""Classic Hits 100.9"",""100.9"",""WXJZ"",""Gainesville"",""FM""]","[-82.31390380859375,29.634199142456055]",Point,1.7
WJSP,88.1,FM,GPB Radio,"[""GPB Radio""]",Warm Springs,US,Georgia,GA,"[""GPB Radio"",""88.1"",""WJSP"",""Warm Springs"",""FM""]","[-84.68099975585938,32.89039993286133]",Point,2.7
KYAL,1550,AM,KYAL,[],Sapulpa,US,Oklahoma,OK,"[""KYAL"",""1550"",""KYAL"",""Sapulpa"",""AM""]","[-96.09860229492188,36.01890182495117]",Point,0.1
KTSO,100.9,FM,KTSO,[],Sapulpa,US,Oklahoma,OK,"[""KTSO"",""100.9"",""KTSO"",""Sapulpa"",""FM""]","[-96.03720092773438,35.967201232910156]",Point,1.9
WCPR,97.9,FM,97.9 CPR Rocks,"[""CPR Rocks""]",D'iberville,US,Mississippi,MS,"[""97.9 CPR Rocks"",""97.9"",""WCPR"",""D'iberville"",""FM""]","[-88.89089965820312,30.426300048828125]",Point,2
WDMV,700,AM,Radio La Jefa,"[""Radio La Jefa""]",Walkersville,US,Maryland,MD,"[""Radio La Jefa"",""700"",""WDMV"",""Walkersville"",""AM""]","[-77.32420349121094,39.45750045776367]",Point,1.9
KUZZ,550,AM,KUZZ-FM,"[""KUZZ-FM""]",Bakersfield,US,California,CA,"[""KUZZ-FM"",""550"",""KUZZ"",""Bakersfield"",""AM""]","[-118.93699645996094,35.340301513671875]",Point,1.9
KWID,101.9,FM,La Buena,"[""La Buena""]",Las Vegas,US,Nevada,NV,"[""La Buena"",""101.9"",""KWID"",""Las Vegas"",""FM""]","[-115.00599670410156,36.0078010559082]",Point,1.1
,,,Braingell Radio,"[""Braingell Radio""]",Fruitland Park,US,Florida,FL,"[""Braingell Radio"",""Fruitland Park""]","[-81.90650177001953,28.861400604248047]",Point,1.5
,,,FRISKY Radio,"[""FRISKY Radio""]",New York,US,New York,NY,"[""FRISKY Radio"",""New York""]","[-74.00599670410156,40.714298248291016]",Point,0.9
,,,SomaFM: cliqhop idm,"[""SomaFM: cliqhop idm""]",San Francisco,US,California,CA,"[""SomaFM: cliqhop idm"",""San Francisco""]","[-122.41899871826172,37.774898529052734]",Point,2
WBPC,95.1,FM,Beach 95.1,"[""Beach""]",Ebro,US,Florida,FL,"[""Beach 95.1"",""95.1"",""WBPC"",""Ebro"",""FM""]","[-85.87409973144531,30.447999954223633]",Point,0.1
,,,VoiceAmerica Empowerment,"[""VoiceAmerica Empowerment""]",Tempe,US,Arizona,AZ,"[""VoiceAmerica Empowerment"",""Tempe""]","[-111.90899658203125,33.414798736572266]",Point,1.6
,,,Mystery Play Internet Radio,"[""Mystery Play Internet Radio""]",Oklahoma City,US,Oklahoma,OK,"[""Mystery Play Internet Radio"",""Oklahoma City""]","[-97.51640319824219,35.46760177612305]",Point,4.5
KDXX,107.9,FM,Latino Mix 107.9/107.1,"[""Latino Mix 107.9/107.1""]",Dallas,US,Texas,TX,"[""Latino Mix 107.9/107.1"",""107.9"",""KDXX"",""Dallas"",""FM""]","[-96.80670166015625,32.78310012817383]",Point,2
KSGF,1260,AM,KSGF,[],Springfield,US,Missouri,MO,"[""KSGF"",""1260"",""KSGF"",""Springfield"",""AM""]","[-93.29820251464844,37.215301513671875]",Point,2.3
WYBK,89.7,FM,BBN Radio,"[""BBN Radio""]",Chattanooga,US,Tennessee,TN,"[""BBN Radio"",""89.7"",""WYBK"",""Chattanooga"",""FM""]","[-85.31610107421875,35.1713981628418]",Point,4.5
,,,VoiceAmerica Business,"[""VoiceAmerica Business""]",Tempe,US,Arizona,AZ,"[""VoiceAmerica Business"",""Tempe""]","[-111.90899658203125,33.414798736572266]",Point,1.6
WYGG,88.1,FM,Good News Radio,"[""Good News Radio""]",Asbury Park,US,New Jersey,NJ,"[""Good News Radio"",""88.1"",""WYGG"",""Asbury Park"",""FM""]","[-74.0105972290039,40.217201232910156]",Point,1.1
,105.7,FM,ITZA Radio HD,"[""ITZA Radio HD""]",Nueva York,US,,Estados Unidos,"[""ITZA Radio HD"",""ITZA Radio HD"",""105.7"",""Nueva York"",""FM""]","[9.918700218200684,57.04800033569336]",Point,1.5
WAMU-HD2,88.5,FM,Bluegrass Country,"[""Bluegrass Country""]",Washington,US,Washington D.C.,DC,"[""Bluegrass Country"",""88.5"",""WAMU-HD2"",""Washington"",""FM""]","[-77.09249877929688,38.936100006103516]",Point,4.1
,,,Nugs Radio,"[""Nugs Radio""]",San Francisco,US,California,CA,"[""Nugs Radio"",""San Francisco""]","[-122.41899871826172,37.774898529052734]",Point,0.6
WLLN,1370,AM,La Grande NC,"[""La Grande NC""]",Lillington,US,North Carolina,NC,"[""La Grande NC"",""1370"",""WLLN"",""Lillington"",""AM""]","[-78.80609893798828,35.38779830932617]",Point,1.9
XETRA,91.1,FM,91X,"[""91X""]",San Diego,US,California,CA,"[""91X"",""91.1"",""XETRA"",""San Diego"",""FM""]","[-117.15699768066406,32.715301513671875]",Point,1.8
KPRB,106.3,FM,B106,"[""B106""]",Brush,US,Colorado,CO,"[""B106"",""106.3"",""KPRB"",""Brush"",""FM""]","[-103.69599914550781,40.217201232910156]",Point,1.1
KMAJ,107.7,FM,Majic 107.7 Topeka,"[""Majic Topeka""]",Carbondale,US,Kansas,KS,"[""Majic 107.7 Topeka"",""107.7"",""KMAJ"",""Carbondale"",""FM""]","[-95.68910217285156,38.818599700927734]",Point,1.3
WMAC,940,AM,News Talk 940 WMAdult Hits,"[""News Talk WMAdult Hits""]",Macon,US,Georgia,GA,"[""News Talk 940 WMAdult Hits"",""940"",""WMAC"",""Macon"",""AM""]","[-83.63240051269531,32.8406982421875]",Point,1.7
WSB,750,AM,WSB,[],Atlanta,US,Georgia,GA,"[""WSB"",""750"",""WSB"",""Atlanta"",""AM""]","[-84.38800048828125,33.749000549316406]",Point,4.7
WQRR,101.7,FM,Alt 101.7,"[""Alt""]",Reform,US,Alabama,AL,"[""Alt 101.7"",""101.7"",""WQRR"",""Reform"",""FM""]","[-88.01529693603516,33.378501892089844]",Point,2.2
WZIQ,106.5,FM,GNNradio,"[""GNNradio""]",Smithville,US,Georgia,GA,"[""GNNradio"",""106.5"",""WZIQ"",""Smithville"",""FM""]","[-84.24829864501953,31.799699783325195]",Point,1.1
,,,Old Christian Radio,"[""Old Christian Radio""]",Grand Prairie,US,Texas,TX,"[""Old Christian Radio"",""Grand Prairie""]","[-96.997802734375,32.74599838256836]",Point,1.6
,,,Radio Soleil New York,"[""Radio Soleil New York""]",Brooklyn,US,New York,NY,"[""Radio Soleil New York"",""Brooklyn""]","[-73.94960021972656,40.65010070800781]",Point,4
,106.9,FM,Classic Rock 1069,"[""Classic Rock""]",Homewood,US,Alabama,AL,"[""Classic Rock 1069"",""106.9"",""Homewood"",""FM""]","[-86.80079650878906,33.4718017578125]",Point,4.5
WDFB,88.1,FM,WDFB-FM,"[""WDFB-FM""]",Danville,US,Kentucky,KY,"[""WDFB-FM"",""88.1"",""WDFB"",""Danville"",""FM""]","[-84.8386001586914,37.596099853515625]",Point,2.7
,,,Country Bear Radio,"[""Country Bear Radio""]",Lake Placid,US,Florida,FL,"[""Country Bear Radio"",""Lake Placid""]","[-81.36289978027344,27.293100357055664]",Point,0.2
,,,DooWop Cafe Radio,"[""DooWop Cafe Radio""]",Winter Haven,US,Florida,FL,"[""DooWop Cafe Radio"",""Winter Haven""]","[-81.73290252685547,28.022199630737305]",Point,1.9
,,,SomaFM: Secret Agent,"[""SomaFM: Secret Agent""]",San Francisco,US,California,CA,"[""SomaFM: Secret Agent"",""San Francisco""]","[-122.41899871826172,37.774898529052734]",Point,4.5
,,,PROG.FM,"[""PROG.FM""]",Morristown,US,New Jersey,NJ,"[""PROG.FM"",""Morristown""]","[-74.48149871826172,40.79679870605469]",Point,2
WNAN,91.1,FM,WCAI,[],Nantucket,US,Massachusetts,MA,"[""WCAI"",""91.1"",""WNAN"",""Nantucket"",""FM""]","[-70.09950256347656,41.28350067138672]",Point,2
WWOD,93.9,FM,The River 93.9,"[""The River""]",Woodstock,US,Vermont,VT,"[""The River 93.9"",""93.9"",""WWOD"",""Woodstock"",""FM""]","[-72.51840209960938,43.62419891357422]",Point,0.8
W273BS,102.5,FM,WCCV,[],Chatsworth,US,Georgia,GA,"[""WCCV"",""102.5"",""W273BS"",""Chatsworth"",""FM""]","[-84.71499633789062,34.75170135498047]",Point,1.3
WZEB,101.7,FM,WZEB Power 101.7,"[""Power""]",Ocean View,US,Delaware,DE,"[""WZEB Power 101.7"",""101.7"",""WZEB"",""Ocean View"",""FM""]","[-75.20030212402344,38.48889923095703]",Point,2.1
KPSL,96.5,FM,La Ley,"[""La Ley""]",Bakersfield,US,California,CA,"[""La Ley"",""96.5"",""KPSL"",""Bakersfield"",""FM""]","[-118.88899993896484,35.485599517822266]",Point,3.8
KQMQ,93.1,FM,HI93,"[""HI93""]",Honolulu,US,Hawaii,HI,"[""HI93"",""93.1"",""KQMQ"",""Honolulu"",""FM""]","[-158.0989990234375,21.39579963684082]",Point,2.1
KRVS,88.7,FM,KRVS Public Media,"[""Public Media""]",Lafayette,US,Louisiana,LA,"[""KRVS Public Media"",""88.7"",""KRVS"",""Lafayette"",""FM""]","[-92.0197982788086,30.22410011291504]",Point,3.5
KSMG,105.3,FM,MAGIC 105.3,"[""MAGIC""]",Seguin,US,Texas,TX,"[""MAGIC 105.3"",""105.3"",""KSMG"",""Seguin"",""FM""]","[-97.9646987915039,29.56879997253418]",Point,3.8
WQNU,103.1,FM,WQNU,[],Lyndon,US,Kentucky,KY,"[""WQNU"",""103.1"",""WQNU"",""Lyndon"",""FM""]","[-85.55000305175781,38.32440185546875]",Point,1.4
,89.6,FM,Spokane Latin Radio 896-s1484,"[""Spokane Latin Radio 896-s1484""]",Spokane,US,Washington,WA,"[""Spokane Latin Radio 896-s1484"",""89.6"",""Spokane"",""FM""]","[-117.4260025024414,47.65879821777344]",Point,0.5
,,,Streaming Soundtracks,"[""Streaming Soundtracks""]",Richmond,US,Virginia,VA,"[""Streaming Soundtracks"",""Richmond""]","[-77.46029663085938,37.55379867553711]",Point,1.6
,,,SomaFM: Groove Salad,"[""SomaFM: Groove Salad""]",San Francisco,US,California,CA,"[""SomaFM: Groove Salad"",""San Francisco""]","[-122.41899871826172,37.774898529052734]",Point,4.5
KIWI,102.9,FM,Radio Lobo,"[""Radio Lobo""]",McFarland,US,California,CA,"[""Radio Lobo"",""102.9"",""KIWI"",""McFarland"",""FM""]","[-119.19499969482422,35.49250030517578]",Point,4.2
WXCY,1510,AM,WXCY 103.7 & 96.9,"[""&""]",Salem,US,New Jersey,NJ,"[""WXCY 103.7 & 96.9"",""1510"",""WXCY"",""Salem"",""AM""]","[-75.46060180664062,39.58330154418945]",Point,2.2
WOPI,98.1,FM,WOPI-FM,"[""WOPI-FM""]",Kingsport,US,Tennessee,TN,"[""WOPI-FM"",""98.1"",""WOPI"",""Kingsport"",""FM""]","[-82.16169738769531,36.59579849243164]",Point,1.8
KUKN,105.5,FM,Cookin Country,"[""Cookin Country""]",Longview,US,Washington,WA,"[""Cookin Country"",""105.5"",""KUKN"",""Longview"",""FM""]","[-122.85399627685547,46.164398193359375]",Point,1.9
KBLW,90.1,FM,KXEI,[],Billings,US,Montana,MT,"[""KXEI"",""90.1"",""KBLW"",""Billings"",""FM""]","[-108.4520034790039,45.76029968261719]",Point,2.6
,,,Limbik Frequencies,"[""Limbik Frequencies""]",Milwaukee,US,Wisconsin,WI,"[""Limbik Frequencies"",""Milwaukee""]","[-87.90650177001953,43.03889846801758]",Point,3.3
,,,Proton Radio,"[""Proton Radio""]",Dallas,US,Texas,TX,"[""Proton Radio"",""Dallas""]","[-96.80670166015625,32.78310012817383]",Point,2.4
,,,SomaFM: Indie Pop Rocks!,"[""SomaFM: Indie Pop Rocks!""]",San Francisco,US,California,CA,"[""SomaFM: Indie Pop Rocks!"",""San Francisco""]","[-122.41899871826172,37.774898529052734]",Point,4.5
WKQK,1300,AM,WKQK,[],Cocoa Beach,US,Florida,FL,"[""WKQK"",""1300"",""WKQK"",""Cocoa Beach"",""AM""]","[-80.76830291748047,28.343900680541992]",Point,1.5
WDLM,89.3,FM,Moody Radio Quad Cities,"[""Moody Radio Quad Cities""]",East Moline,US,Illinois,IL,"[""Moody Radio Quad Cities"",""89.3"",""WDLM"",""East Moline"",""FM""]","[-90.4749984741211,41.54779815673828]",Point,4.8
KIDO,580,AM,KIDO Talk Radio,"[""Talk Radio""]",Nampa,US,Idaho,ID,"[""KIDO Talk Radio"",""580"",""KIDO"",""Nampa"",""AM""]","[-116.56300354003906,43.54069900512695]",Point,2.2
WPOL,1340,AM,WKEW,[],Winston-Salem,US,North Carolina,NC,"[""WKEW"",""1340"",""WPOL"",""Winston-Salem"",""AM""]","[-80.25530242919922,36.07389831542969]",Point,1.8
WKBK,1290,AM,WKBK Radio,"[""Radio""]",Keene,US,New Hampshire,NH,"[""WKBK Radio"",""1290"",""WKBK"",""Keene"",""AM""]","[-72.2780990600586,42.93370056152344]",Point,3.8
WCLV,104.9,FM,WCLV,[],Lorain,US,Ohio,OH,"[""WCLV"",""104.9"",""WCLV"",""Lorain"",""FM""]","[-82.18240356445312,41.45280075073242]",Point,2.3
KPHW,104.3,FM,KPHW-FM,"[""KPHW-FM""]",Kaneohe,US,Hawaii,HI,"[""KPHW-FM"",""104.3"",""KPHW"",""Kaneohe"",""FM""]","[-157.802001953125,21.42169952392578]",Point,2.7
KVPR,89.3,FM,Valley Public Radio,"[""Valley Public Radio""]",Clovis,US,California,CA,"[""Valley Public Radio"",""89.3"",""KVPR"",""Clovis"",""FM""]","[-119.7030029296875,36.825199127197266]",Point,4.7
,,,No Holds Barred Radio,"[""No Holds Barred Radio""]",Scottsdale,US,Arizona,AZ,"[""No Holds Barred Radio"",""Scottsdale""]","[-111.89900207519531,33.50920104980469]",Point,1.7
KHCC,90.1,FM,Radio Kansas,"[""Radio Kansas""]",Hutchinson,US,Kansas,KS,"[""Radio Kansas"",""90.1"",""KHCC"",""Hutchinson"",""FM""]","[-97.92980194091797,38.06079864501953]",Point,2.3
WOLW,91.1,FM,WOLW,[],Cadillac,US,Michigan,MI,"[""WOLW"",""91.1"",""WOLW"",""Cadillac"",""FM""]","[-85.7136001586914,44.27579879760742]",Point,1.8
KZRO,100.1,FM,KZRO/Z100FM/The Z-Channel,"[""KZRO/Z100FM/The Z-Channel""]",Dunsmuir,US,California,CA,"[""KZRO/Z100FM/The Z-Channel"",""100.1"",""KZRO"",""Dunsmuir"",""FM""]","[-122.23899841308594,41.29169845581055]",Point,2.4
,,,CalFIRE CZU (San Mateo/Santa Cruz Counties),"[""CalFIRE CZU (San Mateo/Santa Cruz Counties)""]",Richmond,US,California,CA,"[""CalFIRE CZU (San Mateo/Santa Cruz Counties)"",""Richmond""]","[-122.3479995727539,37.93579864501953]",Point,0.5
WSHE,100.3,FM,WSHE,[],Chicago,US,Illinois,IL,"[""WSHE"",""100.3"",""WSHE"",""Chicago"",""FM""]","[-87.65010070800781,41.849998474121094]",Point,4.7
KQBU,920,AM,Lone Star Sports Radio 920 AM,"[""Lone Star Sports Radio AM""]",El Paso,US,Texas,TX,"[""Lone Star Sports Radio 920 AM"",""920"",""KQBU"",""El Paso"",""AM""]","[-106.48699951171875,31.758699417114258]",Point,2.9
KIGN,101.9,FM,1019 KINGFM,"[""KINGFM""]",Burns,US,Wyoming,WY,"[""1019 KINGFM"",""101.9"",""KIGN"",""Burns"",""FM""]","[-104.35900115966797,41.19279861450195]",Point,2.3
WCRN,830,AM,WCRN AM 830,"[""AM""]",Worcester,US,Massachusetts,MA,"[""WCRN AM 830"",""830"",""WCRN"",""Worcester"",""AM""]","[-71.93109893798828,42.24720001220703]",Point,2.1
WEAN,99.7,FM,News Talk,"[""News Talk""]",Wakefield,US,Rhode Island,RI,"[""News Talk"",""99.7"",""WEAN"",""Wakefield"",""FM""]","[-71.63189697265625,41.57279968261719]",Point,2.3
WWKL,106.7,FM,Hot 106.7,"[""Hot""]",Hershey,US,Pennsylvania,PA,"[""Hot 106.7"",""106.7"",""WWKL"",""Hershey"",""FM""]","[-76.65019989013672,40.2859001159668]",Point,2.1
KQEI,89.3,FM,KQED-FM,"[""KQED-FM""]",North Highlands,US,California,CA,"[""KQED-FM"",""89.3"",""KQEI"",""North Highlands"",""FM""]","[-121.48200225830078,38.710601806640625]",Point,4.7
WGBF,103.1,FM,103 GBF,"[""GBF""]",Henderson,US,Kentucky,KY,"[""103 GBF"",""103.1"",""WGBF"",""Henderson"",""FM""]","[-87.58999633789062,37.83620071411133]",Point,2.2
,,,Artistfirst Radio,"[""Artistfirst Radio""]",,US,Ohio,OH,"[""Artistfirst Radio""]","[0,0]",Point,1.5
,105.7,FM,Furia Grupera,"[""Furia Grupera""]",Estados Unidos,US,New York,NY,"[""Furia Grupera"",""105.7"",""Estados Unidos"",""FM""]","[-74.00599670410156,40.714298248291016]",Point,2.2
WPZR,89.3,FM,Spirit FM,"[""Spirit FM""]",Emporia,US,Virginia,VA,"[""Spirit FM"",""89.3"",""WPZR"",""Emporia"",""FM""]","[-77.71289825439453,36.96120071411133]",Point,2.4
,,,Eargazm Radio,"[""Eargazm Radio""]",Canterbury,US,Connecticut,CT,"[""Eargazm Radio"",""Canterbury""]","[-71.97090148925781,41.69839859008789]",Point,0.5
WQHU-LP,105.5,FM,Forester Radio,"[""Forester Radio""]",Huntington,US,Indiana,IN,"[""Forester Radio"",""105.5"",""WQHU-LP"",""Huntington"",""FM""]","[-85.50859832763672,40.94860076904297]",Point,1.1
,,,Railroad Radio San Francisco,"[""Railroad Radio San Francisco""]",San Francisco,US,California,CA,"[""Railroad Radio San Francisco"",""San Francisco""]","[-122.41899871826172,37.774898529052734]",Point,0.2
,,,SomaFM: Beat Blender,"[""SomaFM: Beat Blender""]",San Francisco,US,California,CA,"[""SomaFM: Beat Blender"",""San Francisco""]","[-122.41899871826172,37.774898529052734]",Point,4.5
WBLI,106.1,FM,106.1 BLI,"[""BLI""]",Patchogue,US,New York,NY,"[""106.1 BLI"",""106.1"",""WBLI"",""Patchogue"",""FM""]","[-73.01509857177734,40.76570129394531]",Point,3.9
K300AE,107.9,FM,KLOV,[],Breckenridge,US,Colorado,CO,"[""KLOV"",""107.9"",""K300AE"",""Breckenridge"",""FM""]","[-106.03800201416016,39.4817008972168]",Point,2.9
K217ER,91.3,FM,KMBI-FM,"[""KMBI-FM""]",Pateros,US,Washington,WA,"[""KMBI-FM"",""91.3"",""K217ER"",""Pateros"",""FM""]","[-119.98100280761719,48.016700744628906]",Point,4.7
K205CM,88.9,FM,KTLF,[],Salida,US,Colorado,CO,"[""KTLF"",""88.9"",""K205CM"",""Salida"",""FM""]","[-106.1969985961914,38.74359893798828]",Point,2.7
K269AB,101.7,FM,KMOZ-FM,"[""KMOZ-FM""]",Delta,US,Colorado,CO,"[""KMOZ-FM"",""101.7"",""K269AB"",""Delta"",""FM""]","[-108.39600372314453,38.419898986816406]",Point,4.4
W213BW,90.5,FM,WSKG-FM,"[""WSKG-FM""]",Watkins Glen,US,New York,NY,"[""WSKG-FM"",""90.5"",""W213BW"",""Watkins Glen"",""FM""]","[-76.87329864501953,42.38059997558594]",Point,3.5
K204CO,88.7,FM,KUSU-FM,"[""KUSU-FM""]",Panguitch,US,Utah,UT,"[""KUSU-FM"",""88.7"",""K204CO"",""Panguitch"",""FM""]","[-112.43599700927734,37.82279968261719]",Point,4.5
K204EX,88.7,FM,KTLC,[],Paonia,US,Colorado,CO,"[""KTLC"",""88.7"",""K204EX"",""Paonia"",""FM""]","[-107.59700012207031,38.85940170288086]",Point,2.7
W259AH,99.7,FM,WPHN,[],Petoskey,US,Michigan,MI,"[""WPHN"",""99.7"",""W259AH"",""Petoskey"",""FM""]","[-85.02890014648438,45.502201080322266]",Point,1.8
K206CJ,89.1,FM,KRQZ,[],Issaquah,US,Washington,WA,"[""KRQZ"",""89.1"",""K206CJ"",""Issaquah"",""FM""]","[-121.98600006103516,47.5088996887207]",Point,2
W266BQ,101.1,FM,WVTF Music,"[""Music""]",Crozet,US,Virginia,VA,"[""WVTF Music"",""101.1"",""W266BQ"",""Crozet"",""FM""]","[-78.79830169677734,38.06610107421875]",Point,4.6
W204BF,88.7,FM,WCKZ,[],Fort Wayne,US,Indiana,IN,"[""WCKZ"",""88.7"",""W204BF"",""Fort Wayne"",""FM""]","[-85.17890167236328,41.103599548339844]",Point,2.3
K267AJ,101.3,FM,KAWZ,[],Mt. Shasta,US,California,CA,"[""KAWZ"",""101.3"",""K267AJ"",""Mt. Shasta"",""FM""]","[-122.23999786376953,41.29169845581055]",Point,1.9
K214EM,90.7,FM,KAWZ,[],Durant,US,Oklahoma,OK,"[""KAWZ"",""90.7"",""K214EM"",""Durant"",""FM""]","[-96.4269027709961,34.03670120239258]",Point,1.9
K205EP,88.9,FM,WGEN-FM,"[""WGEN-FM""]",Santa Clarita,US,California,CA,"[""WGEN-FM"",""88.9"",""K205EP"",""Santa Clarita"",""FM""]","[-118.41600036621094,34.353599548339844]",Point,1.9
